,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
130,여,40.0,1,1,1,3,1,1,4,4,1,7.0,3,JW메리어트동대문스퀘어서울,5.0
131,남,20.0,6,2,2,6,2,2,6,5,1,0.0,1,경의선책거리,4.0
134,남,20.0,1,1,1,4,4,5,2,6,2,0.0,8,율동공원,5.0
135,여,50.0,3,3,3,4,3,3,3,3,1,3.0,24,평택역,4.0
137,여,30.0,4,1,3,1,5,6,4,7,1,2.0,6,남이섬안반지닭갈비 1호점,5.0
143,여,20.0,4,1,2,2,2,4,2,7,5,1.0,10,망원한강공원,4.0
145,남,50.0,1,3,2,3,2,3,1,4,2,1.0,6,오이도 빨강등대,4.0
149,여,20.0,3,6,4,5,2,3,7,2,1,1.0,1,광주송정역,4.0
152,여,50.0,2,2,1,2,1,2,1,2,1,1.0,6,파주출판도시 휴게소,4.0
158,여,40.0,1,3,2,4,6,6,6,6,8,2.0,11,철원한탄강 주상절리길,4.0
159,여,30.0,2,1,3,2,4,1,2,6,3,1.0,8,토닭토닭 숯불닭갈비,4.0
160,남,20.0,7,3,6,2,2,2,1,5,1,1.0,6,온기정,5.0
162,여,40.0,4,4,4,4,4,4,4,4,2,0.0,2,오이도,4.0
163,남,20.0,3,5,5,2,2,5,5,2,2,0.0,1,발리맥주 본점,5.0
164,여,20.0,3,2,1,6,6,3,2,6,3,3.0,2,제이드가든수목원,5.0
165,남,20.0,6,2,2,2,6,3,1,6,1,0.0,6,클럽케이서울,5.0
167,여,30.0,2,4,1,2,1,1,6,2,2,1.0,23,장어독립,5.0
169,여,30.0,6,2,1,3,6,3,6,7,7,1.0,22,랜디스도넛 안국점,3.0
170,여,20.0,3,3,2,3,5,5,6,3,6,0.0,6,멜로워 성수플래그쉽,4.0
171,여,20.0,6,2,2,2,2,5,3,6,7,0.0,6,탄탄면공방 파르나스몰점,4.0
174,여,30.0,4,4,1,1,4,7,1,7,7,1.0,8,시흥오이도박물관,5.0
176,여,20.0,4,2,1,7,7,5,1,7,2,1.0,4,토마토김밥,3.0
177,여,50.0,6,4,3,4,4,4,2,2,1,0.0,3,롯데몰 수원점,4.0
180,남,30.0,3,1,1,4,3,4,1,5,8,0.0,3,장안공원 화서문,4.0
185,여,40.0,1,4,3,2,2,4,4,6,1,1.0,6,장암역 7호선,3.0
186,남,20.0,3,3,4,3,4,5,5,5,3,1.0,3,오이도 바다,5.0
190,남,20.0,4,3,1,4,5,4,2,4,6,0.0,5,소바의온도,4.0
191,남,30.0,2,5,2,2,1,2,4,4,2,1.0,21,여의도한강공원,5.0
192,남,40.0,3,2,2,2,3,5,5,5,1,1.0,24,아웃백스테이크하우스 하남스타필드점,4.0
193,남,20.0,4,1,3,3,2,2,2,2,3,1.0,2,서울특별시 구로구 공원로8길 49,4.0
194,남,40.0,2,6,2,3,6,6,6,6,3,3.0,6,동대문 문구완구시장,3.0
195,여,40.0,4,4,3,5,5,3,5,3,2,2.0,21,물의정원,5.0
198,여,30.0,2,4,2,4,3,4,3,6,3,3.0,2,이정웅 스페이스,4.0
199,여,40.0,2,4,2,4,2,3,4,3,7,1.0,2,아산마트 오송점,3.0
202,남,20.0,6,1,3,6,5,6,1,7,1,0.0,4,전쟁기념관,5.0
203,남,30.0,4,2,5,3,4,6,2,6,3,3.0,2,시골향기 운양점,4.0
205,남,30.0,5,6,5,4,5,5,6,4,1,1.0,2,파주닭국수 파주본점,4.0
206,남,20.0,2,2,3,6,4,4,3,6,1,0.0,22,투스텝,3.0
208,여,30.0,4,3,5,3,2,4,5,3,10,3.0,1,싸다김밥 성신여대점,4.0
212,여,20.0,2,2,4,4,2,2,6,6,2,1.0,3,호텔더디자이너스 DDP점,5.0
214,남,20.0,3,2,3,2,2,5,3,6,3,1.0,21,경춘선 시간여행 거리,4.0
219,남,30.0,4,1,3,3,2,3,6,3,7,0.0,4,판교환경생태학습원,4.0
222,남,40.0,3,1,5,4,1,4,2,6,1,0.0,6,인천세관역사공원,5.0
223,남,30.0,2,1,1,1,2,1,4,6,2,4.0,5,훼릭스 숲속에서그릴,5.0
224,여,40.0,3,2,5,2,3,2,1,6,10,2.0,2,화담숲,5.0
227,남,20.0,2,2,3,3,5,2,6,6,2,0.0,27,더수제비 남양주본점,4.0
228,여,30.0,3,3,2,3,4,1,4,7,5,1.0,22,이천 문화의거리,3.0
231,여,30.0,4,5,2,2,2,6,6,2,3,1.0,5,남이섬,4.0
236,남,20.0,6,1,2,2,1,5,3,4,2,1.0,6,일산호수공원,4.0
238,여,40.0,4,6,2,2,2,4,2,4,1,0.0,2,스타벅스 김포장기커낼점,4.0
239,여,50.0,6,6,4,1,1,4,5,5,5,0.0,1,인터컨티넨탈 서울코엑스,4.0
242,남,30.0,2,1,2,6,2,3,2,6,3,3.0,1,새마을전통시장,4.0
243,여,30.0,2,2,2,1,3,6,2,6,3,2.0,23,탄도항,5.0
244,여,40.0,3,2,3,2,3,5,3,5,8,4.0,3,웨스틴조선 수영장,5.0
