,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
5594,여,30.0,6,5,3,3,3,6,3,5,3,1.0,1,현대프리미엄아울렛 송도점,4.0
5596,여,40.0,3,2,5,2,3,6,3,6,1,1.0,21,와룡공원,4.0
5597,여,20.0,6,2,2,2,4,6,5,2,7,0.0,21,코스트코 광명점,4.0
5598,여,30.0,2,2,2,2,5,6,2,7,7,0.0,22,앤드밀 더현대서울점,5.0
5601,여,20.0,3,2,4,2,1,4,7,4,3,1.0,2,참치일번가,5.0
5603,여,30.0,1,7,2,6,7,3,2,5,8,2.0,4,북촌한옥마을,4.0
5604,남,40.0,2,1,2,6,1,7,7,5,1,1.0,4,롯데월드타워,4.0
5606,여,40.0,3,5,5,2,2,6,2,3,1,1.0,21,커피빈 김포장기DT점,4.0
5607,남,40.0,2,5,5,4,1,4,4,4,7,3.0,1,물금역,5.0
5609,여,20.0,1,1,1,3,6,2,7,6,1,0.0,3,화성행궁,5.0
5610,여,20.0,3,7,1,6,1,4,7,5,8,0.0,2,서울대공원,5.0
5611,여,20.0,5,2,3,2,2,2,2,3,4,0.0,6,강남역지하상가,4.0
5613,여,40.0,1,1,3,2,4,3,6,4,2,0.0,21,원조원할매소문난닭한마리,3.0
5617,여,30.0,3,4,3,4,3,5,3,5,3,1.0,26,버거더심플,3.0
5618,여,30.0,4,7,4,4,4,6,1,5,1,0.0,2,하늘공원 가는길,4.0
5619,남,30.0,4,4,4,4,4,4,4,4,2,0.0,6,다발김치찌개 대학로점,5.0
5620,남,20.0,1,2,3,6,3,5,1,7,4,0.0,8,와마트,5.0
5622,남,40.0,2,2,2,6,3,3,5,5,8,0.0,3,화서공원,4.0
5626,여,30.0,2,2,1,6,7,1,2,3,7,0.0,2,육회왕자연어공주 마곡발산점,5.0
5627,여,20.0,5,2,1,2,3,7,3,7,3,3.0,1,에이큐브호텔,5.0
5628,남,40.0,2,2,3,4,3,3,5,6,2,0.0,3,던킨,5.0
5631,여,20.0,2,1,6,2,4,6,1,7,3,1.0,23,에버랜드,5.0
5633,여,20.0,2,3,2,6,4,6,5,5,3,1.0,4,이층양옥,4.0
5635,여,30.0,7,1,1,1,1,4,4,3,3,1.0,6,두타몰,4.0
5636,여,30.0,1,1,2,7,4,7,2,4,8,3.0,3,하이서울유스호스텔,4.0
5637,여,20.0,4,5,4,4,5,4,4,3,1,1.0,4,셀리스도넛,4.0
5639,여,30.0,5,5,5,6,6,6,5,2,3,1.0,1,서울역,5.0
5641,여,20.0,7,1,2,7,6,6,2,3,2,0.0,26,호우섬 더현대서울점,4.0
5642,여,40.0,4,1,3,7,6,2,1,7,3,1.0,5,북한산,5.0
5643,남,30.0,7,1,1,1,1,7,1,7,3,1.0,27,돌담집,5.0
5647,여,20.0,4,2,1,4,2,3,5,5,1,0.0,3,호반베르디움더프라임아파트,5.0
5650,남,30.0,1,4,5,2,6,1,1,3,10,1.0,22,파주신세계프리미엄아울렛 전기차충전소(테슬라전용),5.0
5655,여,20.0,1,4,1,4,7,7,7,1,7,0.0,26,파주삼릉,3.0
5656,여,20.0,5,4,5,3,2,5,3,6,1,0.0,6,회룡역 1호선,5.0
5657,여,40.0,3,2,1,5,6,7,6,2,1,5.0,8,가평군농협하나로마트 조종점,4.0
5659,남,30.0,1,1,6,1,2,2,2,5,2,2.0,23,밀레니엄힐튼 서울,5.0
5661,여,40.0,3,3,3,3,3,4,2,6,1,3.0,27,산두부집,5.0
5666,여,30.0,2,2,2,2,2,6,6,6,2,1.0,9,화담숲,4.0
5670,여,20.0,2,1,1,6,7,2,2,6,1,1.0,5,호텔아띠,4.0
5671,여,30.0,2,3,1,6,6,3,2,3,8,0.0,1,이마트 의정부점,4.0
5673,여,40.0,2,1,1,4,6,4,3,6,2,3.0,10,풀빌라귀족펜션,4.0
5674,여,20.0,3,1,2,2,3,4,5,7,3,1.0,23,현대백화점 압구정본점,5.0
5675,남,20.0,2,2,3,3,3,6,2,6,1,1.0,21,캘리소프트서브 수원점,4.0
5679,여,40.0,3,5,1,3,3,1,5,1,6,0.0,21,일산칼국수 본점,5.0
5680,남,20.0,5,4,4,4,6,4,5,5,1,0.0,26,Babershop,4.0
5683,여,20.0,6,3,1,2,7,1,2,7,3,1.0,21,두끼떡볶이 건대점,4.0
5684,여,20.0,2,2,3,3,3,5,3,6,1,1.0,6,삼성화재교통박물관,4.0
5687,여,30.0,1,2,4,4,4,2,5,5,2,0.0,6,수원월드컵경기장,5.0
5688,여,50.0,3,1,1,5,4,4,2,2,3,4.0,3,서울광장,4.0
5689,남,20.0,6,3,6,6,2,6,1,3,8,0.0,21,어울림공원,5.0
5690,여,20.0,6,3,5,4,4,5,1,5,2,1.0,4,청주시외버스터미널,5.0
5694,남,20.0,1,4,1,5,4,2,5,2,4,0.0,27,AK플라자 AKTown점,4.0
5695,남,60.0,7,7,3,4,4,4,7,5,2,1.0,21,을왕리해수욕장,5.0
5700,남,40.0,5,5,4,3,2,3,4,4,3,1.0,4,카페헤이디,3.0
5701,여,40.0,2,3,5,3,5,5,5,4,7,1.0,6,밥할머니공원,5.0
5703,여,40.0,3,3,3,6,6,6,2,5,3,2.0,1,경기의왕 레일파크,5.0
5704,남,30.0,2,1,1,6,2,2,7,5,2,0.0,7,컴포즈커피 양천신곡점,4.0
5705,남,20.0,4,1,3,2,3,4,6,4,7,1.0,6,임진각관광지 바람의언덕,5.0
5706,남,30.0,3,1,1,4,3,4,1,5,8,0.0,3,탐스커버리 화성행궁점,4.0
5707,남,40.0,3,1,5,4,6,3,6,6,2,3.0,2,설봉공원,4.0
5708,남,30.0,4,4,3,2,2,3,5,2,1,1.0,4,드방르파크,4.0
5709,남,30.0,6,2,2,4,6,2,5,2,1,0.0,13,송이하랑,3.0
5714,남,50.0,5,3,4,3,3,5,3,3,3,3.0,3,가람 레스토랑,4.0
5715,남,20.0,1,4,2,6,4,3,5,4,5,0.0,22,기업도시정류소,5.0
5716,여,20.0,7,1,1,1,1,1,1,7,3,1.0,2,안성팜랜드,4.0
5717,남,30.0,3,3,3,5,4,2,2,6,1,1.0,3,로향양꼬치 서울대본점,5.0
5718,여,40.0,3,3,3,5,3,3,3,5,8,0.0,6,안양예술공원,5.0
5720,남,20.0,4,1,2,2,4,4,2,6,1,0.0,7,이안만두,5.0
5721,남,20.0,2,2,3,3,4,5,1,3,7,1.0,9,신세계백화점 본점,5.0
5722,남,30.0,4,2,2,4,2,6,2,6,5,2.0,22,연그리다,4.0
5725,여,20.0,4,1,4,5,5,4,5,3,1,1.0,1,춘향골,5.0
5726,여,40.0,4,4,4,4,4,4,5,6,1,6.0,21,카루소,4.0
5730,여,30.0,2,6,2,6,5,5,2,6,1,1.0,2,힐링빌,4.0
5734,여,30.0,2,2,1,6,7,1,6,2,3,1.0,1,메밀집,4.0
5736,여,20.0,4,1,1,5,5,6,7,6,3,1.0,1,여의도역 9호선,4.0
5738,남,40.0,2,2,2,4,6,2,2,4,1,1.0,4,하늘공원,5.0
5741,여,20.0,4,4,4,4,4,5,4,4,3,1.0,6,롯데월드타워,5.0
5742,여,30.0,5,3,2,5,6,6,2,2,7,1.0,9,문화역서울284,5.0
5743,여,30.0,4,4,1,4,1,4,1,1,3,1.0,6,가나아트파크 어린이체험관,5.0
5744,남,30.0,7,1,3,7,4,4,6,2,1,0.0,10,석촌호수 동호,4.0
5747,여,20.0,5,5,6,6,6,4,2,6,2,0.0,1,호텔스카이파크 동대문1호점,4.0
5748,여,40.0,1,2,1,4,3,4,4,7,1,0.0,1,버거킹 반포고속터미널점,2.0
5751,여,30.0,4,4,4,4,4,4,4,4,2,1.0,2,태릉입구역 7호선,5.0
5753,남,20.0,2,1,1,3,6,4,1,4,3,1.0,4,소코아 일산점,5.0
5754,여,20.0,4,3,3,4,5,4,6,5,8,0.0,3,용연,5.0
5755,여,20.0,1,2,2,1,3,3,6,5,1,1.0,22,류재은베이커리 본점,4.0
5757,여,30.0,2,3,2,2,2,5,6,5,2,1.0,21,근현대사기념관,4.0
5759,여,30.0,4,2,2,2,4,5,2,4,3,1.0,1,평택역,4.0
5760,여,40.0,1,4,2,2,1,6,3,5,1,1.0,12,감고당길,3.0
5761,여,30.0,1,1,1,5,1,2,6,2,7,1.0,2,설악숯불닭갈비,1.0
5762,여,30.0,5,6,3,2,3,3,2,4,1,2.0,24,나인블럭 출판도시점,3.0
5763,여,60.0,2,6,6,6,3,6,6,3,8,4.0,3,창덕궁,5.0
5764,여,40.0,3,2,5,2,3,6,3,6,1,1.0,21,본동신동아아파트,4.0
5766,여,20.0,7,1,1,3,7,7,7,7,2,0.0,1,선릉역 2호선,4.0
5767,남,40.0,4,4,4,4,4,4,4,4,3,3.0,2,캐리비안베이,5.0
5768,여,30.0,6,2,2,2,6,2,3,6,5,3.0,2,서울고속버스터미널(경부),4.0
5770,여,20.0,5,2,1,3,4,5,5,1,3,1.0,3,호텔아르떼,4.0
5772,여,40.0,4,2,4,3,4,2,3,1,1,1.0,3,롯데시네마 도곡,5.0
5778,남,50.0,2,4,6,7,4,5,7,6,1,0.0,4,일광전구라이트하우스,5.0
5780,여,30.0,2,2,2,4,3,2,7,5,1,1.0,9,동탄센트럴파크오피스텔,5.0
5782,여,30.0,1,1,4,4,1,4,3,5,1,3.0,5,까사노블풀빌라,5.0
5789,여,30.0,2,2,2,4,4,2,2,4,1,1.0,3,수원화성 서장대,5.0
5790,여,30.0,2,2,5,3,2,1,2,6,2,0.0,21,몽실식당,5.0
5791,여,20.0,3,1,2,2,3,4,1,3,2,0.0,22,구리휴게소 일산방향,3.0
5794,여,20.0,3,3,2,5,4,3,1,5,1,1.0,3,감성타코 광화문점,3.0
5795,남,30.0,1,1,1,3,2,2,5,4,6,0.0,3,남한산성 행궁,5.0
5796,남,30.0,6,2,3,3,3,5,5,3,1,1.0,1,남산공원,5.0
5797,남,20.0,4,2,3,4,4,2,6,3,1,0.0,1,델리카한스 롯데호텔서울,4.0
5798,여,40.0,2,2,2,1,6,4,4,4,4,0.0,6,인창도서관 주차장,5.0
5801,남,40.0,2,4,4,5,6,6,2,4,3,1.0,28,아펜즈커피 구리점,4.0
5802,여,30.0,1,1,3,1,1,4,3,6,6,0.0,2,가평역 경춘선,4.0
5805,여,30.0,2,3,3,3,4,3,3,6,2,0.0,2,윤가네장원추어탕,3.0
5807,여,30.0,1,4,2,5,4,4,3,5,2,4.0,10,테르메덴,4.0
5808,남,20.0,7,1,1,1,7,7,1,4,3,1.0,1,청량리역,5.0
5811,여,30.0,2,4,3,1,3,6,6,4,1,4.0,2,본가신숙희진골막국수,3.0
5812,남,40.0,6,2,2,2,6,6,2,7,5,1.0,22,굿빈스커피 권선중앙점,4.0
5813,남,20.0,4,2,2,6,5,5,6,3,7,1.0,3,수원화성 북동포루,4.0
5817,남,30.0,4,5,2,5,3,4,2,7,8,0.0,3,현대모터스튜디오 서울,4.0
5820,여,40.0,3,2,3,2,3,5,3,5,8,4.0,3,광화문광장 세종대왕동상,4.0
5823,남,20.0,2,3,2,6,3,3,5,6,1,1.0,2,동서울종합터미널,5.0
5824,여,30.0,2,1,2,1,2,2,1,7,2,1.0,21,더케이즈,3.0
5825,여,50.0,4,5,2,6,5,6,7,3,1,1.0,1,제일평화시장,5.0
5826,남,30.0,2,1,1,5,5,3,1,5,3,1.0,21,골목집소머리국밥,5.0
5827,남,40.0,2,2,2,4,4,2,4,6,1,0.0,5,화성상록GC,5.0
5831,여,30.0,2,4,3,5,6,6,7,4,3,3.0,4,교동면옥,5.0
5832,여,30.0,3,1,2,5,2,2,1,6,1,1.0,2,인천스테이호텔,5.0
5833,남,20.0,1,1,4,1,1,4,1,7,1,1.0,8,파주헤이리마을 미지로의탐험,5.0
5838,남,40.0,1,4,1,3,3,5,3,5,3,1.0,22,가평잣소라네농원,4.0
5839,여,20.0,5,2,1,5,6,4,2,6,1,0.0,2,에버랜드,4.0
5841,여,30.0,5,5,2,1,1,3,2,6,9,1.0,23,포포인츠 바이 쉐라톤 조선 서울명동,5.0
5842,여,20.0,4,4,4,4,4,4,4,4,9,1.0,23,KFC 안양일번가점,3.0
5844,여,20.0,3,2,1,6,6,3,2,6,3,3.0,2,춘천막국수,4.0
5846,남,30.0,2,2,1,6,2,2,5,7,1,0.0,1,홍두깨손칼국수,4.0
5847,여,50.0,4,2,4,1,2,6,5,3,2,1.0,3,웨스틴조선서울 아리아,5.0
5848,남,30.0,3,3,2,6,4,5,2,7,7,3.0,3,행리단길,1.0
5850,여,30.0,4,3,4,1,2,3,6,5,10,0.0,1,에버랜드 라시언메모리엄,5.0
5851,여,50.0,1,1,1,1,1,2,2,6,1,1.0,22,이정웅 스페이스,5.0
5852,남,20.0,4,1,3,5,1,3,2,6,1,0.0,22,서울역,5.0
5855,여,30.0,2,2,2,3,6,5,5,7,1,0.0,27,시몬스 테라스점,4.0
5856,남,30.0,2,4,2,3,5,4,2,4,3,2.0,1,망원시장,4.0
5858,남,50.0,6,2,2,4,5,3,3,3,7,0.0,21,노브랜드버거 부평역점,4.0
5862,남,30.0,3,1,2,2,4,4,2,6,1,2.0,22,라팡드포레펜션,4.0
5864,남,30.0,1,1,1,3,2,2,1,2,3,1.0,6,서울도시건축전시관,4.0
5865,여,20.0,4,3,2,7,6,4,2,5,7,5.0,21,카몽,5.0
5866,여,30.0,2,6,4,4,4,4,2,2,2,0.0,11,필룩스조명박물관,5.0
5869,여,30.0,2,1,3,2,3,2,3,6,3,1.0,4,용성통닭,5.0
5872,여,20.0,2,1,2,4,6,4,7,6,7,1.0,3,GS25 수원행리단길점,3.0
5873,여,60.0,1,1,2,2,2,3,2,1,3,2.0,6,논스페이스,4.0
5874,남,40.0,2,3,2,3,4,3,4,7,2,3.0,28,토가,4.0
5878,남,20.0,7,1,5,1,1,5,1,4,3,2.0,23,곱분이곱창 광명역점,5.0
5881,여,20.0,6,2,2,3,3,6,2,4,5,1.0,9,보타니카바이선리,5.0
5882,여,20.0,2,2,3,3,3,5,3,6,1,1.0,6,아스트로호텔,3.0
5890,여,30.0,2,6,1,2,4,4,6,7,1,0.0,25,베리굳베이글,3.0
5891,남,20.0,3,5,5,2,2,5,5,2,2,0.0,1,스타벅스 부천심곡DT점,5.0
5893,남,20.0,3,2,5,3,2,2,6,2,2,0.0,22,엔틸로프,5.0
5895,남,20.0,5,2,3,3,5,5,5,5,7,0.0,6,서울로7017,5.0
5896,남,30.0,1,1,1,4,4,4,7,1,7,3.0,11,시흥오이도박물관,5.0
5900,여,20.0,1,2,2,3,4,3,5,6,1,0.0,13,잇타이플러스,4.0
5901,여,30.0,4,3,1,2,4,1,4,5,8,0.0,24,광진시장,5.0
5902,여,30.0,4,3,1,4,6,4,7,4,1,0.0,9,소래포구 해오름광장,4.0
5903,여,20.0,3,3,5,3,2,2,3,2,3,1.0,5,라페스타,5.0
5907,여,30.0,3,2,2,4,6,6,6,2,1,0.0,3,화성게스트하우스,4.0
5909,여,50.0,2,2,3,3,6,6,2,5,2,1.0,3,차이나타운 공영주차장,5.0
5911,남,30.0,2,2,2,2,1,3,2,6,2,1.0,21,고삐251,4.0
5912,남,20.0,2,2,1,6,5,6,6,6,1,5.0,22,스타벅스 올림픽공원남문점,5.0
5913,여,20.0,6,4,1,5,5,5,6,7,3,2.0,6,제물포역 1호선,5.0
5921,남,30.0,6,2,6,3,2,6,2,7,5,1.0,1,송리단길,5.0
5923,여,30.0,2,3,6,6,6,3,3,2,5,1.0,7,아피네오프닝포트,5.0
5924,남,20.0,1,1,1,1,1,5,3,1,2,0.0,3,시티파크PC방,4.0
5925,남,20.0,4,1,1,4,4,2,3,7,1,1.0,12,동대문크레페,5.0
5926,남,30.0,5,3,3,4,3,6,5,5,1,0.0,1,용산역 1호선 + 용산역 롯데리아,5.0
5927,남,20.0,4,2,1,5,2,3,4,4,2,0.0,4,잘빠진메밀 익선동점,3.0
5928,여,50.0,2,2,4,2,3,4,4,5,3,3.0,23,수서역,5.0
5930,여,20.0,3,2,3,2,2,2,5,4,4,0.0,23,복합문화공간야시시,5.0
5937,여,50.0,1,7,1,4,7,4,3,7,3,1.0,6,망향비빔국수 궁평본점,3.0
5939,여,40.0,6,2,3,3,6,6,4,7,2,2.0,23,오크우드프리미어 인천,5.0
5944,여,20.0,3,2,2,2,2,6,6,6,3,2.0,3,여의도한강공원,3.0
5945,남,30.0,1,1,1,1,1,1,7,2,3,1.0,1,라마다앙코르바이윈덤 김포한강호텔,3.0
5946,여,20.0,4,1,3,3,4,4,3,2,3,1.0,1,하오호텔,4.0
5947,여,20.0,5,1,2,3,5,6,6,5,1,1.0,3,비공,4.0
5950,남,60.0,2,2,2,2,2,2,6,2,1,0.0,3,메밀촌 두부마을,3.0
5951,남,40.0,1,1,2,3,2,2,5,4,3,13.0,8,양주패밀리캠핑장,4.0
5953,남,20.0,5,1,2,4,5,4,6,6,3,1.0,9,안성맞춤랜드,4.0
5954,여,30.0,5,2,5,3,5,5,6,3,1,0.0,5,석파정,5.0
5960,남,30.0,2,2,3,2,2,4,5,5,2,3.0,10,아트밸리 자작나무,4.0
5961,여,40.0,1,3,4,4,4,1,1,5,2,1.0,25,남한강썬밸리호텔,5.0
5962,남,20.0,6,2,1,3,5,5,7,7,3,1.0,22,뚝섬역 2호선,5.0
5965,여,50.0,6,6,1,3,3,1,7,3,6,2.0,3,남한산성 행궁,4.0
5966,남,30.0,2,2,2,2,3,6,5,6,6,1.0,6,화담숲,4.0
5969,여,40.0,1,1,1,4,1,1,4,6,2,3.0,10,워커힐길,5.0
5970,남,20.0,2,2,2,2,2,2,7,6,3,1.0,1,상동호수공원,4.0
5974,여,20.0,2,2,1,3,4,2,4,1,1,0.0,23,라까사호텔 광명,3.0
5976,여,20.0,3,2,2,4,3,3,6,4,7,0.0,1,의정부역 행복로,4.0
5980,여,50.0,3,3,4,3,3,4,5,4,2,0.0,9,오랑주리,4.0
5982,남,50.0,2,2,6,2,2,6,2,7,10,7.0,21,용문사,4.0
5984,남,30.0,1,1,1,3,2,2,1,2,3,1.0,6,김포국제공항 국내선,5.0
5986,여,20.0,2,5,1,2,4,5,3,5,1,1.0,22,연천당포성,5.0
5992,남,20.0,2,3,2,6,3,3,5,6,1,1.0,2,서울교복,5.0
5993,남,20.0,3,1,5,6,2,5,5,6,10,1.0,1,온양온천역 1호선,5.0
5994,여,40.0,3,2,2,4,3,4,3,6,3,3.0,21,BHC치킨 포천일동점,2.0
5995,여,40.0,5,3,2,1,2,5,6,7,8,0.0,12,수원천,3.0
5996,여,20.0,2,1,2,7,6,4,6,3,1,0.0,2,방탈출버스티드,4.0
5998,남,30.0,2,3,1,3,5,5,6,6,3,1.0,5,배연정소머리국밥,2.0
6001,여,20.0,1,4,1,4,6,4,5,7,1,1.0,3,방화수류정,4.0
6004,여,40.0,2,6,2,3,2,3,2,6,1,0.0,13,흔들바위,2.0
6010,여,40.0,2,2,6,4,2,2,6,3,4,0.0,9,호두과자 천안서울휴게소,4.0
6012,남,50.0,2,4,3,2,2,5,2,2,1,0.0,1,남산옛길,4.0
6013,여,60.0,2,2,2,3,4,5,3,7,1,1.0,21,조개브라더스,4.0
6014,여,30.0,6,3,5,2,3,3,5,2,6,0.0,10,국립현대미술관 서울관,5.0
6016,여,30.0,2,1,3,4,1,2,6,3,3,1.0,9,동서울종합터미널,5.0
6017,여,20.0,4,3,1,4,4,5,2,4,3,1.0,6,플로미니케이크,4.0
6018,여,20.0,2,1,1,7,7,5,5,5,3,1.0,3,서울페이스트리 행궁점,4.0
6019,여,20.0,4,2,1,3,5,2,4,4,9,1.0,1,픽커스 망원점,4.0
6020,남,20.0,1,1,1,6,4,2,4,6,2,3.0,7,온달집 본점,4.0
6022,남,30.0,4,3,1,2,4,6,2,5,2,1.0,9,미도인 성수,3.0
6023,여,30.0,7,7,7,1,4,7,7,7,5,0.0,1,스포애니 수내점,5.0
6024,남,40.0,6,2,4,2,2,4,5,4,2,1.0,23,나인트리프리미어호텔 서울판교,5.0
6026,여,30.0,3,1,2,2,4,4,3,4,7,1.0,6,스타필드 코엑스몰,4.0
6029,남,20.0,1,1,1,5,5,2,5,4,10,1.0,1,명품구제창고형매장,5.0
6035,여,30.0,1,1,1,4,2,6,6,7,7,0.0,1,핑고네일(구 라곰네일),4.0
6036,여,30.0,2,4,5,4,6,4,4,4,1,2.0,3,서울골뱅이북어구이,4.0
6041,남,30.0,3,4,3,2,2,5,6,3,3,2.0,11,강남교자 중계홈플러스점,5.0
6043,여,20.0,6,2,1,2,3,2,7,5,3,1.0,22,오우도,4.0
6044,남,30.0,1,1,1,3,1,1,1,3,3,1.0,9,하늘공원,1.0
6047,여,20.0,2,2,2,4,6,5,3,3,1,2.0,28,빨간떡볶이샵,4.0
6048,여,20.0,2,7,4,7,5,3,5,1,1,0.0,1,통툰 영등포점,5.0
6050,여,30.0,1,1,3,1,1,4,3,6,6,0.0,2,가평역 경춘선,4.0
6052,여,30.0,4,1,3,3,5,5,5,6,2,1.0,4,더현대서울,3.0
6053,남,30.0,2,4,1,3,4,2,1,6,6,1.0,8,카페하날,4.0
6054,남,60.0,2,2,2,2,2,2,6,2,1,0.0,3,한강3경 이포보전망대,5.0
6057,남,20.0,3,5,5,2,2,5,5,2,2,0.0,1,두리식자재마트 송내점,3.0
6060,남,20.0,7,1,2,2,4,3,1,7,1,1.0,4,쓰리팝PC,3.0
6063,남,20.0,4,2,3,4,4,6,2,6,3,1.0,9,아오이토리,5.0
6064,여,30.0,5,2,3,5,6,4,4,1,1,1.0,8,참,5.0
6068,남,30.0,4,2,5,2,6,6,6,6,2,1.0,21,GS25 곤지암리조트점,3.0
6069,남,20.0,7,3,6,2,2,2,1,5,1,1.0,6,루오호텔,5.0
6070,남,20.0,4,3,2,3,2,2,2,4,2,0.0,3,명동교자 본점,5.0
6071,여,20.0,2,1,2,5,6,2,2,1,8,1.0,6,대한불교 조계종 심학산 약천사,4.0
6074,여,60.0,2,6,1,3,4,2,6,7,7,6.0,2,토담,3.0
6076,여,20.0,2,1,2,5,6,2,2,1,8,1.0,6,문산자유시장,5.0
6078,여,50.0,1,4,1,4,2,4,1,7,3,4.0,2,산정호수빵명장,3.0
6079,여,30.0,1,1,1,4,3,4,4,5,3,3.0,7,백석역 3호선,3.0
6081,남,30.0,4,1,4,3,4,4,2,1,8,0.0,5,88로타리집,5.0
6083,여,50.0,1,1,1,3,2,7,2,7,2,3.0,3,청남대만남의광장휴게소,5.0
6084,남,40.0,3,5,6,2,6,2,7,6,1,0.0,1,북촌손만두 동대문역사문화공원점,4.0
6085,여,40.0,1,4,6,3,1,4,4,1,2,0.0,2,봉선사동종,3.0
6087,남,20.0,7,2,3,5,2,5,7,1,3,1.0,1,김해국제공항,4.0
6088,여,40.0,1,3,2,4,6,6,6,6,8,2.0,11,호수가의아침,4.0
6093,여,30.0,1,1,1,1,1,1,1,6,3,1.0,22,롯데면세점 월드타워점,5.0
6094,남,20.0,5,2,4,3,5,4,6,4,1,1.0,1,현대썬앤빌오피스텔,4.0
6095,남,20.0,7,1,7,1,3,6,1,7,6,1.0,26,혜화역 4호선,5.0
6096,남,20.0,2,1,1,5,6,6,2,3,1,0.0,28,은행나무식당,5.0
6098,여,30.0,4,2,5,3,3,4,5,7,5,3.0,21,서울대공원,5.0
6099,여,50.0,2,2,1,2,1,2,1,2,1,1.0,6,루다(luda),4.0
6100,여,20.0,1,7,5,3,3,2,3,4,1,1.0,3,이상의집,4.0
6102,남,20.0,5,5,3,3,6,5,3,6,1,0.0,28,센트럴시티터미널(호남),3.0
6103,여,20.0,2,2,2,2,2,4,6,7,1,1.0,1,아쿠아필드 하남,2.0
6106,여,20.0,2,1,1,6,7,2,2,6,1,1.0,5,월미테마파크,4.0
6108,여,30.0,4,2,1,7,4,3,1,6,8,0.0,6,아트원씨어터,5.0
6109,남,20.0,6,1,3,2,1,6,2,7,3,1.0,1,안스베이커리 송도점,4.0
6111,여,20.0,6,1,3,2,4,5,6,7,3,3.0,4,더달달,4.0
6112,여,20.0,7,1,1,1,7,7,7,3,9,1.0,9,할랄가이즈 홍대점,5.0
6115,남,30.0,3,1,2,2,4,4,2,6,1,2.0,22,카페 채터,4.0
6116,여,60.0,2,2,2,4,5,2,4,6,1,1.0,21,한탄강 지질공원센터,5.0
6119,여,40.0,3,4,3,4,4,3,3,6,5,0.0,6,그랜드워커힐서울 빛의 시어터,4.0
6121,여,20.0,4,4,1,1,4,7,7,7,9,2.0,9,쎈스프래그런스,5.0
6124,남,30.0,2,1,1,5,6,2,2,6,3,1.0,1,롯데월드타워,5.0
6125,남,30.0,4,4,1,4,3,2,3,5,6,1.0,5,AK플라자 금정점,4.0
6126,여,40.0,1,7,5,5,1,5,1,7,6,0.0,5,라크몽,5.0
6127,남,20.0,2,1,1,2,3,2,2,4,1,0.0,22,미사호수공원,5.0
6130,남,50.0,2,4,4,4,4,4,5,4,2,2.0,3,현대프리미엄아울렛 스페이스원,5.0
6131,남,20.0,6,2,1,3,5,3,1,7,7,1.0,6,서울역 스토리웨이 서울2층맞이방직영편,3.0
6132,남,30.0,7,2,4,1,1,2,7,4,3,1.0,1,로운샤브샤브 청량리점,4.0
6133,여,30.0,4,1,3,2,2,4,4,7,3,2.0,2,전쟁기념관,4.0
6134,남,20.0,1,1,1,1,1,5,3,1,2,0.0,3,화성행궁광장,4.0
6136,여,20.0,2,1,6,2,4,6,1,7,3,1.0,23,반달커피 동백점,4.0
6137,여,40.0,3,2,5,4,3,5,2,5,3,3.0,22,개항로91,5.0
6138,여,20.0,6,3,2,2,2,2,2,6,7,1.0,2,헤이리예술마을,4.0
6140,남,40.0,3,3,3,5,3,3,3,2,3,3.0,3,에버랜드,2.0
6142,남,30.0,3,1,2,2,1,6,2,6,3,1.0,1,한강중앙공원,4.0
6143,여,30.0,6,1,1,1,6,4,6,1,1,1.0,28,차차티클럽 창신한옥,5.0
6147,남,20.0,5,2,3,3,5,5,5,5,7,0.0,6,북촌한옥마을,4.0
6148,남,20.0,4,3,4,6,4,3,6,5,1,0.0,1,알라딘중고서점 잠실롯데월드타워점,3.0
6149,남,20.0,7,4,6,3,5,3,4,4,1,0.0,1,전통찻집지대방,5.0
6150,여,30.0,4,2,4,1,4,4,4,6,3,1.0,6,스파오 성신여대점,4.0
6151,여,20.0,5,1,2,3,4,5,6,7,1,1.0,4,호텔케이월드,3.0
6152,여,20.0,5,5,6,6,6,4,2,6,2,0.0,1,청주여객터미널 북부정류장,4.0
6154,여,20.0,4,2,2,6,5,5,2,6,3,5.0,2,힐링텐트,4.0
6157,남,40.0,1,1,1,4,4,1,2,4,3,4.0,3,마라도해물탕&찜 광교점,4.0
6159,여,30.0,3,5,2,4,5,6,4,3,1,0.0,6,석촌호수 서호,5.0
6162,여,20.0,2,2,2,2,1,3,6,6,5,0.0,1,백암터미널,3.0
6165,여,20.0,6,2,2,2,3,3,7,1,1,0.0,6,고동함박 송리단길점,4.0
6166,여,40.0,2,2,2,3,1,2,2,4,2,0.0,2,별빛정원 우주,3.0
6167,남,40.0,6,6,6,5,6,6,6,2,2,4.0,6,하이클래스,5.0
6168,여,20.0,4,2,3,5,4,4,5,3,1,1.0,3,성균관대학교자연과학캠퍼스 의과대학,5.0
6169,남,20.0,5,5,3,4,2,3,5,4,1,1.0,23,카페피크닉,4.0
6171,남,20.0,1,4,2,6,4,3,5,4,5,0.0,22,GS25 원주라온점,5.0
